pl_name,hostname,disc_facility,discoverymethod,disc_year,st_teff,st_met,st_rotp,st_mass,st_rad,sy_pnum,sy_snum,sy_dist,survey
Kepler-158 d,Kepler-158,Kepler,Transit,2024,4895.97,-0.3,,0.656,0.668,3,1,315.177,Kepler
Kepler-513 b,Kepler-513,Kepler,Transit,2016,5849.0,-0.01,,1.02,1.06,1,1,468.258,Kepler
Kepler-1530 b,Kepler-1530,Kepler,Transit,2016,5477.0,0.03,,0.92,0.88,3,1,489.876,Kepler
Kepler-1520 b,Kepler-1520,Kepler,Transit,2016,4677.0,0.04,,0.76,0.71,1,1,607.917,Kepler
Kepler-360 c,Kepler-360,Kepler,Transit,2014,6053.0,0.15,,0.994,1.058,2,1,876.044,Kepler
Kepler-782 b,Kepler-782,Kepler,Transit,2016,5867.0,-0.14,,0.98,1.01,1,1,446.844,Kepler
Kepler-63 b,Kepler-63,Kepler,Transit,2013,5576.0,0.05,5.401,0.984,0.901,1,1,194.033,Kepler
Kepler-132 b,Kepler-132,Kepler,Transit,2014,6003.0,-0.2159,,0.929,1.178,4,2,349.549,Kepler
Kepler-1996 c,Kepler-1996,Kepler,Transit,2023,4580.0,0.08,,0.748,0.675,2,1,440.561,Kepler
Kepler-1441 b,Kepler-1441,Kepler,Transit,2016,5802.0,0.01,,1.0,1.0,1,1,1110.48,Kepler
Kepler-498 b,Kepler-498,Kepler,Transit,2016,5744.0,-0.04,,0.98,0.96,1,1,938.844,Kepler
Kepler-529 b,Kepler-529,Kepler,Transit,2016,6087.0,-0.1,,1.07,1.14,3,1,799.008,Kepler
Kepler-1324 b,Kepler-1324,Kepler,Transit,2016,4776.0,0.05,,0.78,0.73,1,1,481.667,Kepler
Kepler-60 c,Kepler-60,Kepler,Transit,2012,5905.0,-0.09,,1.041,1.257,3,1,1025.1,Kepler
Kepler-354 c,Kepler-354,Kepler,Transit,2014,4648.0,-0.03,,0.652,0.674,3,1,554.064,Kepler
Kepler-330 c,Kepler-330,Kepler,Transit,2014,5117.0,0.16,,0.848,0.722,2,1,717.527,Kepler
Kepler-243 c,Kepler-243,Kepler,Transit,2014,5228.0,0.26,,0.904,0.842,2,1,693.86,Kepler
Kepler-264 b,Kepler-264,Kepler,Transit,2014,6158.0,0.0469,,1.426,1.55,2,1,942.173,Kepler
Kepler-110 b,Kepler-110,Kepler,Transit,2014,5960.0,-0.1498,,0.989,1.149,2,1,586.531,Kepler
Kepler-320 c,Kepler-320,Kepler,Transit,2014,6435.0,-0.1228,,1.072,1.108,2,1,826.613,Kepler
Kepler-879 b,Kepler-879,Kepler,Transit,2016,5792.0,0.05,,1.02,1.02,2,1,802.672,Kepler
Kepler-809 b,Kepler-809,Kepler,Transit,2016,5734.0,0.04,,0.99,0.98,1,1,961.405,Kepler
Kepler-301 d,Kepler-301,Kepler,Transit,2014,5815.0,0.187,,1.022,0.9,3,1,719.166,Kepler
Kepler-1933 b,Kepler-1933,Kepler,Transit,2021,5661.0,0.1,,0.964,1.008,1,1,328.007,Kepler
Kepler-1614 b,Kepler-1614,Kepler,Transit,2016,5121.0,-0.17,,0.79,0.76,1,1,1191.19,Kepler
Kepler-1641 b,Kepler-1641,Kepler,Transit,2016,6152.0,-0.02,,1.12,1.19,2,1,860.37,Kepler
Kepler-1296 b,Kepler-1296,Kepler,Transit,2016,5359.0,-0.04,,0.87,0.83,1,1,1551.54,Kepler
Kepler-1114 b,Kepler-1114,Kepler,Transit,2016,5374.0,-0.08,,0.87,0.83,1,1,418.417,Kepler
Kepler-23 b,Kepler-23,Kepler,Transit,2011,5828.0,-0.112,,1.078,1.548,3,1,835.756,Kepler
Kepler-1173 b,Kepler-1173,Kepler,Transit,2016,5252.0,0.0,,0.86,0.82,1,1,377.06,Kepler
Kepler-210 b,Kepler-210,Kepler,Transit,2014,4559.0,0.2772,,0.77,0.65,2,1,232.75,Kepler
Kepler-367 b,Kepler-367,Kepler,Transit,2014,4710.0,0.1974,,0.768,0.695,2,1,188.027,Kepler
Kepler-306 c,Kepler-306,Kepler,Transit,2014,4954.0,-0.13,,0.75,0.719,4,1,775.679,Kepler
Kepler-1166 b,Kepler-1166,Kepler,Transit,2016,5446.0,-0.02,,0.9,0.86,1,1,634.906,Kepler
Kepler-162 c,Kepler-162,Kepler,Transit,2014,5816.0,0.1,,1.053,0.958,2,1,855.641,Kepler
Kepler-603 d,Kepler-603,Kepler,Transit,2016,5808.0,0.03,,1.01,1.01,3,1,1539.63,Kepler
Kepler-458 c,KIC 9663113,Kepler,Transit,2016,6117.21,0.1436,,1.15,2.21562,2,1,1594.74,Kepler
Kepler-1848 b,Kepler-1848,Kepler,Transit,2021,4847.0,0.0,,0.756,0.737,1,1,309.696,Kepler
Kepler-969 c,Kepler-969,Kepler,Transit,2016,5214.0,0.22,,0.92,0.82,2,1,390.354,Kepler
Kepler-1922 b,Kepler-1922,Kepler,Transit,2021,5931.0,-0.28,,0.953,0.863,1,1,1344.29,Kepler
Kepler-197 e,Kepler-197,Kepler,Transit,2014,6004.0,-0.441,,0.857,1.12,4,2,330.575,Kepler
KIC 9663113 b,KIC 9663113,Kepler,Transit,2015,6065.0,-0.28,,0.98,1.03,2,1,1594.74,Kepler
Kepler-178 d,Kepler-178,Kepler,Transit,2014,5676.0,-0.04,,0.852,1.066,3,1,716.025,Kepler
