hostname,st_teff,st_met,st_mass,st_rad,sy_dist,disc_year,discoverymethod,mission,sy_dist_ly,st_mass_kg,st_rad_m,planet_count,metallicity_class,spectral_type,last_updated,st_teff_norm,st_met_norm,st_mass_norm,st_rad_norm,planet_occurrence_class
Kepler-549,5312.0,0.16,0.859,0.986,635.145,2023,Transit,Kepler,2071.5635262,1.7081214999999998e+30,685960200.0,3,solar,G,2025-10-29 17:25:48,-0.13422726900365115,0.8713680978306894,-0.3484991474740577,-0.07010437573111786,few
Kepler-235,4255.0,-0.51,0.581,0.554,428.018,2014,Transit,Kepler,1396.00638808,1.1553184999999998e+30,385417800.00000006,4,low,K,2025-10-29 17:25:48,-1.0984717542279725,-3.306491395631414,-1.4998304437524872,-1.085649523696849,many
Kepler-1906,5868.0,-0.12,0.987,0.894,1360.63,2021,Transit,Kepler,4437.7763828,1.9626494999999998e+30,621955800.0,1,sub-solar,G,2025-10-29 17:25:48,0.37298175066023026,-0.8746030337654136,0.1816102263519817,-0.28637787946456056,single
Kepler-1013,4954.0,0.04,0.81,0.76,422.246,2016,Transit,Kepler,1377.1806637599998,1.610685e+30,528732000.0,1,solar,K,2025-10-29 17:25:48,-0.46081149389514314,0.12309475571807378,-0.5514316421418382,-0.6013849392502273,single
Kepler-434,5977.0,0.25,1.198,1.38,1222.54,2015,Transit,Kepler,3987.3875624,2.382223e+30,960066000.0,1,solar,G,2025-10-29 17:25:48,0.4724166124288689,1.432573104415151,1.0554623972683435,0.856110411996887,single
Kepler-1883,6208.0,-0.12,1.086,1.024,1377.61,2021,Transit,Kepler,4493.157671599999,2.1595109999999998e+30,712396800.0,1,sub-solar,F,2025-10-29 17:25:48,0.6831455396633233,-0.8746030337654136,0.5916166951705594,0.019225984506608593,single
Kepler-1471,5660.0,-0.03,0.95,0.93,978.678,2016,Transit,Kepler,3192.01701768,1.889075e+30,647001000.0,2,sub-solar,G,2025-10-29 17:25:48,0.18323449150539695,-0.313398027180952,0.028375485480392065,-0.2017491171340829,few
Kepler-313,5727.0,0.26,1.114,1.536,1079.39524871,2014,Transit,Kepler,3520.5123673825874,2.215189e+30,1068595200.0,2,solar,G,2025-10-29 17:25:48,0.24435500286777115,1.4949292162578691,0.7075781206950057,1.2228350487622903,few
Kepler-1442,6394.0,0.26,1.34,1.44,608.68,2016,Transit,Kepler,1985.2463408,2.6645900000000003e+30,1001808000.0,1,solar,F,2025-10-29 17:25:48,0.85282337717678,1.4949292162578691,1.6435524838566065,0.9971583492143498,single
Kepler-1421,6335.0,0.05,1.25,1.42,783.401,2016,Transit,Kepler,2555.10936556,2.485625e+30,987894000.0,1,solar,F,2025-10-29 17:25:48,0.7990008373203609,0.18545086756079177,1.270819330385172,0.9501423701418622,single
Kepler-292,5299.0,0.04,0.865,0.826,1056.48,2014,Transit,Kepler,3445.7729088,1.7200524999999998e+30,574648200.0,5,solar,G,2025-10-29 17:25:48,-0.14608647270082822,0.12309475571807378,-0.3236502705759621,-0.44623220831101845,many
